Time (Sec);S1;S7;S49;S47;S25;S41;S46;S48;S24;S2;S51;S33;S34;S50;S35;S17;S26;S43;S18;S20;S11;S42;
960.0096733333199;19159.358743999892;19159.544916799983;19157.688646399376;19158.651835199682;19159.142723999837;19159.4813119999;19158.44553280025;19158.796886399727;19158.865035999668;19159.05276079984;19157.132399999256;19159.58889839992;19159.58294159988;19157.81559519943;19159.77142879999;19159.577863999984;19159.45019359998;19159.794079999992;19159.2488159998;19159.24026479985;19155.381190399763;19159.77488159994;
1020.0096733333198;19159.322723999885;19159.520206399982;19157.56679039934;19158.55019999966;19159.121111999833;19159.459699999898;19158.356758400267;19158.715343999706;19158.82901599966;19159.01910879984;19157.041007999233;19159.57449039992;19159.536875999867;19157.643177599384;19159.75495519999;19159.544916799983;19159.43166079998;19159.779665599992;19159.179717599778;19159.175428799837;19155.117353599755;19159.759526399936;
1080.0096733333185;19159.265091999874;19159.49961439998;19157.456907199314;19158.45588639964;19159.063479999822;19159.430883999892;19158.26958560028;19158.667287999695;19158.807403999657;19158.998917599838;19156.935057599203;19159.560082399916;19159.490810399853;19157.456732799335;19159.73848159999;19159.50785119998;19159.41106879998;19159.77142879999;19159.14369759977;19159.08898079982;19154.85843359973;19159.751848799933;
1140.0107626666497;19159.229071999867;19159.48108159998;19157.36371679929;19158.338031999614;19159.027459999816;19159.409271999888;19158.172345600295;19158.55332319967;19158.785791999653;19158.978726399837;19156.84366559918;19159.53126639991;19159.44474479984;19157.3110591993;19159.71994879999;19159.48108159998;19159.392535999978;19159.75289599999;19159.082276799752;19159.052960799814;19154.569523199716;19159.70625679992;
1200.009673333314;19159.208880799866;19159.46872639998;19157.302820799272;19158.221895999588;19158.969827999805;19159.380455999883;19158.085172800307;19158.481582399654;19158.76417999965;19158.958535199836;19156.73771519915;19159.488042399902;19159.423132799835;19157.109550399247;19159.69935679999;19159.44195679998;19159.371943999977;19159.74054079999;19158.990145599724;19158.995328799803;19154.310603199694;19159.691848799917;
1260.0096733333116;19159.151248799855;19159.43989759998;19157.160999999232;19158.14223199957;19158.933807999798;19159.35884399988;19157.992508800322;19158.42535839964;19158.70275919963;19158.900903199825;19156.595473599114;19159.444818399894;19159.415455199833;19156.915767999195;19159.68494239999;19159.404891199978;19159.345174399976;19159.73024479999;19158.954125599717;19158.908880799787;19154.035283199675;19159.684171199915;
1320.0096733333087;19159.117596799853;19159.402831999978;19156.97296959918;19158.045188799548;19158.912195999794;19159.330027999873;19157.896184000336;19158.352457599623;19158.666739199623;19158.81445519981;19156.50042079909;19159.42320639989;19159.37706719982;19156.757727999153;19159.668468799988;19159.374003199977;19159.326641599975;19159.71788959999;19158.932513599713;19158.82243279977;19153.749182399646;19159.661138399908;
1380.009673333305;19159.059964799842;19159.376062399977;19156.831935999144;19157.95652639953;19158.854563999783;19159.286803999865;19157.789792000352;19158.263795199604;19158.605318399605;19158.780803199807;19156.35605119905;19159.394390399884;19159.355455199817;19156.5578367991;19159.654054399987;19159.334878399975;19159.297812799974;19159.70347519999;19158.871092799694;19158.735984799754;19153.433091199626;19159.653460799906;
1440.0096733332975;19159.023944799836;19159.349292799976;19156.697809599107;19157.900302399514;19158.768115999766;19159.26519199986;19157.668070400374;19158.16580479958;19158.513187199576;19158.723171199796;19156.098547198984;19159.37277839988;19159.347777599814;19156.300332799034;19159.643758399987;19159.285457599974;19159.248391999972;19159.68700159999;19158.778961599666;19158.649536799738;19153.071311999618;19159.615546399895;
1500.0096733332957;19159.003753599834;19159.318404799975;19156.540929599065;19157.827172799498;19158.73209599976;19159.234955199852;19157.571516800388;19158.092430399563;19158.47716719957;19158.63672319978;19155.97188639895;19159.358370399877;19159.309389599803;19156.110455998984;19159.631403199986;19159.248391999972;19159.22368159997;19159.674646399988;19158.74294159966;19158.56308879972;19152.784508799592;19159.601138399892;
1560.1199999999626;19158.98934559983;19159.297812799974;19156.438411199037;19157.75472959948;19158.703279999754;19159.206139199847;19157.5021904004;19158.019987199546;19158.438779199558;19158.58629519977;19155.875444798927;19159.343962399875;19159.2877775998;19156.034452798966;19159.619047999986;19159.23397759997;19159.20514879997;19159.662291199988;19158.728533599657;19158.534172799715;19152.578545599576;19159.59346079989;
1620.0096733332966;19158.97493759983;19159.285457599974;19156.37658399902;19157.70324159947;19158.67446399975;19159.184527199843;19157.442473600408;19157.972159999536;19158.37735839954;19158.559373599768;19155.746235198894;19159.31514639987;19159.280099999796;19155.93962879894;19159.610811199986;19159.21544479997;19159.18043839997;19159.654054399987;19158.714125599654;19158.483844799706;19152.40116799956;19159.58625679989;
1680.1479999999644;19158.960429599825;19159.277220799973;19156.32968799901;19157.61871359945;19158.645647999743;19159.17011919984;19157.377723200418;19157.939849599526;19158.31593759952;19158.545912799767;19155.61702559886;19159.293534399865;19159.258487999792;19155.843187198916;19159.596396799985;19159.19691199997;19159.15572799997;19159.647876799987;19158.675737599642;19158.4550287997;19152.20879519955;19159.578579199886;
1740.0096733332998;19158.938917599822;19159.266924799973;19156.283148798993;19157.58367359944;19158.616831999738;19159.16291519984;19157.321667200427;19157.91570719952;19158.2468391995;19158.532451999767;19155.470894398826;19159.26471839986;19159.258487999792;19155.714435198883;19159.590219199985;19159.17220159997;19159.128958399968;19159.643758399987;19158.629671999628;19158.411804799693;19152.042198399544;19159.570901599884;
1801.286999999966;19158.92450959982;19159.258687999973;19156.236252798983;19157.52305919943;19158.588015999732;19159.134099199833;19157.24799360044;19157.85143199951;19158.18541839948;19158.518991199766;19155.341211198793;19159.243106399856;19159.25128399979;19155.580308798846;19159.579923199984;19159.14543199997;19159.104247999967;19159.633462399986;19158.600855999623;19158.34696879968;19151.823347199526;19159.56312399988;
1860.0079999999666;19158.902897599815;19159.242214399972;19156.15764799896;19157.474529599418;19158.537587999723;19159.105283199828;19157.183700800448;19157.746939199485;19158.156602399475;19158.48297119976;19155.23099839876;19159.21429039985;19159.24360639979;19155.477790398818;19159.571686399984;19159.124839999968;19159.081596799966;19159.614929599986;19158.58644799962;19158.28923679967;19151.632379199506;19159.52483599987;
1920.009673333302;19158.87408159981;19159.22574079997;19156.07285439894;19157.371180799393;19158.508771999717;19159.076467199822;19157.10110400046;19157.653684799465;19158.13499039947;19158.456049599758;19155.151563198742;19159.171066399842;19159.221994399784;19155.36465599879;19159.553153599983;19159.104247999967;19159.067182399966;19159.600515199985;19158.548059999608;19158.253316799663;19151.38704959949;19159.49412559986;
1980.0096733333032;19158.86062079981;19159.21750399997;19156.034940798927;19157.279788799373;19158.479955999712;19159.06205919982;19157.04138720047;19157.58537599945;19158.120582399468;19158.442588799757;19155.088347198725;19159.127842399834;19159.214790399783;19155.25189439876;19159.538739199983;19159.081596799966;19159.054827199965;19159.588159999985;19158.49431679959;19158.224500799657;19151.209671999473;19159.472513599856;
2046.0299999999695;19158.84715999981;19159.20514879997;19155.97265599891;19157.22769919936;19158.451139999706;19159.03134879981;19156.990822400476;19157.527763199436;19158.098970399464;19158.41367279975;19155.017436798706;19159.10623039983;19159.20758639978;19155.157070398735;19159.528443199983;19159.063063999965;19159.040412799965;19159.577863999984;19158.465500799586;19158.18848079965;19151.05947519946;19159.464835999854;
2100.713999999965;19158.833699199808;19159.18867519997;19155.885983998887;19157.203785599355;19158.4223239997;19159.009736799806;19156.940028800484;19157.479707199425;19158.068259999454;19158.370448799742;19154.928444798683;19159.091822399827;19159.20758639978;19155.10154879872;19159.524324799982;19159.052767999965;19159.023939199964;19159.569627199984;19158.451092799583;19158.166868799646;19150.90857599945;19159.45715839985;
2160.0096733332916;19158.812087199803;19159.15778719997;19155.727943998845;19157.152526399343;19158.386303999694;19158.9809207998;19156.861779200495;19157.415431999412;19158.032239999447;19158.284100799727;19154.825926398655;19159.06300639982;19159.20038239978;19154.964644798685;19159.516087999982;19159.025998399964;19159.003347199963;19159.559331199984;19158.389671999565;19158.13084879964;19150.676134399426;19159.44948079985;
2224.5309999999527;19158.7904751998;19159.14131359997;19155.642905598823;19157.09191199933;19158.36469199969;19158.937696799792;19156.787876800507;19157.335294399392;19158.010627999443;19158.250448799725;19154.762710398638;19159.041394399817;19159.193078399778;19154.801964798644;19159.50579199998;19158.995110399963;19158.990991999963;19159.544916799983;19158.297540799536;19158.109236799635;19150.456580799415;19159.441803199847;
2284.530999999945;19158.725639199787;19159.106307199967;19155.469476798775;19157.060303999322;19158.30705999968;19158.894472799784;19156.684230400526;19157.187598399356;19157.949207199425;19158.192816799714;19154.593724798593;19159.026986399815;19159.185874399776;19154.639284798603;19159.49961439998;19158.96422239996;19158.95804479996;19159.520206399982;19158.205409599508;19158.08762479963;19150.148460799417;19159.395737599833;
2344.5309999999363;19158.691987199785;19159.085715199966;19155.362615998747;19157.019468799313;19158.220611999663;19158.851248799776;19156.577380800543;19157.03990239932;19157.857075999396;19158.159164799712;19154.336220798526;19159.012578399812;19159.178196799774;19154.55215519858;19159.49343679998;19158.94774879996;19158.90862399996;19159.49549599998;19158.1693895995;19158.066012799627;19149.830964799414;19159.34967199982;
2401.559999999927;19158.67037519978;19159.073359999966;19155.30055999873;19156.921494399292;19158.134163999646;19158.82243279977;19156.47030240056;19156.91754079929;19157.764944799368;19158.13897359971;19154.07871679846;19158.99817039981;19159.13223119976;19154.43341759855;19159.47696319998;19158.92509759996;19158.859203199958;19159.47490399998;19158.147777599497;19158.008280799615;19149.512766399403;19159.303606399804;
2460.0096733332516;19158.648763199777;19159.061004799965;19155.238503998713;19156.846321599274;19158.04771599963;19158.808024799768;19156.372376000578;19156.81956639927;19157.67281359934;19158.11878239971;19153.821212798393;19158.969354399804;19159.110619199757;19154.296039998513;19159.46460799998;19158.89832799996;19158.809782399956;19159.45843039998;19158.08635679948;19157.97236079961;19149.221748799395;19159.25754079979;
2520.009673333241;19158.591131199766;19159.038353599964;19155.12945119868;19156.766657599255;19158.011695999623;19158.786412799764;19156.260492800597;19156.705372799246;19157.58068239931;19158.09859119971;19153.634619198347;19158.926130399796;19159.102941599755;19154.077838398458;19159.45019359998;19158.857143999958;19158.774775999955;19159.43989759998;19157.99422559945;19157.9147287996;19148.889257599385;19159.211475199776;
2581.5599999999004;19158.557479199764;19159.021879999964;19155.04557279866;19156.656124799232;19157.99008399962;19158.757596799758;19156.16393920061;19156.583011199218;19157.544662399305;19158.078399999707;19153.547489598324;19158.90451839979;19159.064553599743;19153.90440959841;19159.43166079998;19158.822137599956;19158.758302399954;19159.41930559998;19157.958205599443;19157.82818079958;19148.602454399366;19159.165409599762;
2640.0096733332293;19158.53586719976;19158.999228799963;19154.92683519863;19156.545390399206;19157.968471999615;19158.743188799755;19156.085232000623;19156.527489599204;19157.5230503993;19158.020767999697;19153.484273598307;19158.874281599783;19159.01848799973;19153.746369598368;19159.41312799998;19158.791249599955;19158.745947199954;19159.409009599978;19157.93659359944;19157.741832799566;19148.36860799935;19159.143797599758;
2704.5309999998876;19158.514255199756;19158.968340799962;19154.768795198586;19156.42646079918;19157.94685999961;19158.72157679975;19155.99668640064;19156.478959999193;19157.501438399297;19157.93431999968;19153.42105759829;19158.85266959978;19158.972322399713;19153.600467198332;19159.392535999978;19158.764479999954;19158.733591999953;19159.400772799978;19157.87517279942;19157.70581279956;19148.10547359934;19159.136119999755;
2761.559999999882;19158.494063999755;19158.93745279996;19154.611915198544;19156.362414399166;19157.925247999607;19158.692760799746;19155.91912320065;19156.41491359918;19157.479826399293;19157.847871999664;19153.357841598274;19158.838261599776;19158.95081039971;19153.466340798295;19159.382239999977;19158.737710399953;19158.721236799953;19159.390476799977;19157.839152799414;19157.648080799547;19147.87513919931;19159.128915999754;
2820.0096733332066;19158.436431999744;19158.91068319996;19154.479879998507;19156.310452799153;19157.867615999596;19158.67114879974;19155.826688000663;19156.36708639917;19157.418405599274;19157.814219999662;19153.18932959823;19158.80944559977;19158.943132799708;19153.24952799824;19159.374003199977;19158.696526399952;19158.68828959995;19159.382239999977;19157.777731999395;19157.56173279953;19147.600521599295;19159.121711999753;
2880.009673333198;19158.400411999737;19158.89420959996;19154.393910398485;19156.207103999128;19157.78116799958;19158.627924799734;19155.729676800678;19156.28694879915;19157.326274399245;19157.79402879966;19152.931825598163;19158.766221599763;19158.921520799704;19153.14700959821;19159.355470399976;19158.67593439995;19158.63886879995;19159.367825599977;19157.741711999388;19157.525712799525;19147.312313599276;19159.11403439975;
2940.0096733331907;19158.378799999733;19158.88185439996;19154.331854398468;19156.11914399911;19157.694719999563;19158.584700799725;19155.628318400693;19156.15001759912;19157.234143199217;19157.77383759966;19152.674321598097;19158.722997599754;19158.914316799703;19153.083793598194;19159.341055999976;19158.66357919995;19158.589447999948;19159.345174399976;19157.720099999384;19157.50410079952;19147.01121759925;19159.07564639974;
3000.0096733331843;19158.358608799732;19158.86949919996;19154.27095839845;19156.03900639909;19157.608271999547;19158.53863519971;19155.540916800706;19156.043875199095;19157.19812319921;19157.75364639966;19152.49236799805;19158.679773599746;19158.9066391997;19152.965055998164;19159.326641599975;19158.64092799995;19158.554441599947;19159.326641599975;19157.69848799938;19157.44646879951;19146.75159519923;19159.054034399735;
3060.009673333175;19158.30097679972;19158.836551999957;19154.105223998406;19155.918523199063;19157.52182399953;19158.495411199703;19155.43109280072;19155.955686399077;19157.176511199206;19157.696014399648;19152.334327998007;19158.636549599738;19158.87592879969;19152.80701599812;19159.306049599974;19158.61003999995;19158.523553599945;19159.312227199975;19157.676875999376;19157.360020799493;19146.42542559919;19159.046356799732;
